"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1, BT2, BT3, BT4, BT5, BT6","6","12V","ESC_Electronics_Library:6S-Battery-Holder",""
"2","C1, C4","2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C2","1","open","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm",""
"4","C3, C7","2","1nF","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P10.00mm",""
"5","C5","1","1pF","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm",""
"6","C6","1","4700pF","Capacitor_THT:C_Disc_D12.5mm_W5.0mm_P10.00mm",""
"7","C8","1","open","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8","C9, C10, C15, C16","4","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"9","C11, C12","2","330uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"10","C13, C14","2","0.33uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"11","D1, D2","2","RB751V-40","Diode_SMD:D_SOD-123",""
"12","FB1, FB2","2","FerriteBead_Small","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",""
"13","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"14","H5","1","DiodeFeedThru","ESC_Electronics_Library:DiodeFeedThru",""
"15","H6, H7","2","MountingHole","ESC_Electronics_Library:4headclear",""
"16","J1","1","Batt probe","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"17","J2","1","CA probe","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"18","J3","1","Test Input BNC","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",""
"19","J4","1","-1000VDC SHV","ESC_Electronics_Library:MHV Wire Conn",""
"20","J5","1","RV Prob","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"21","J6","1","Output BNC","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",""
"22","J7","1","DC Power","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"23","J8","1","-8V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"24","J9","1","+8V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"25","R1","1","open","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
"26","R2, R3, R5","3","10M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",""
"27","R4","1","100M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",""
"28","R6","1","47","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"29","R7","1","open","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",""
"30","R8","1","0","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"31","R9","1","750","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"32","R10","1","20k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"33","RV1","1","10k","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical",""
"34","U1","1","CR110","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"35","U2","1","SiPhotodiode","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"36","U3","1","TL051CP","Package_DIP:DIP-8_W7.62mm_Socket",""
"37","U4","1","UA78M08","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"38","U5","1","UA79M08","ESC_Electronics_Library:TO-252-3_Tab1",""
